county,precinct,office,district,candidate,party,eslate ,escan,votes
Jessamine,Southland Christian Church,U.S. House,2,Hank Linderman,,0,119,119
Jessamine,Southland Christian Church,U.S. House,2,Thomas A. Loecken,,0,6,6
Jessamine,Southland Christian Church,State Senate,22,Tom Buford,,0,375,375
Jessamine,Southland Christian Church,State Senate,22,Carolyn Dupont,,0,136,136
Jessamine,Southland Christian Church,State House,39,Russ Meyer,,,,
Jessamine,Southland Christian Church,State House,55,Kim King,,0,373,373
Jessamine,Southland Christian Church,State House,55,Cathy Carter,,0,133,133
Jessamine,Northwest U.S. 68,Straight Party,,,REP,0,258,258
Jessamine,Northwest U.S. 68,Straight Party,,,DEM,0,75,75
Jessamine,Northwest U.S. 68,Straight Party,,,LIB,0,1,1
Jessamine,Northwest U.S. 68,U.S. House,2,S. Brett Guthrie,,0,456,456
Jessamine,Northwest U.S. 68,U.S. House,2,Hank Linderman,,0,153,153
Jessamine,Northwest U.S. 68,U.S. House,2,Thomas A. Loecken,,0,8,8
Jessamine,Northwest U.S. 68,State Senate,22,Tom Buford,,0,449,449
Jessamine,Northwest U.S. 68,State Senate,22,Carolyn Dupont,,0,170,170
Jessamine,Northwest U.S. 68,State House,39,Russ Meyer,,,,
Jessamine,Northwest U.S. 68,State House,55,Kim King,,0,446,446
Jessamine,Northwest U.S. 68,State House,55,Cathy Carter,,0,168,168
Jessamine,Clear Creek,Straight Party,,,REP,0,185,185
Jessamine,Clear Creek,Straight Party,,,DEM,0,70,70
Jessamine,Clear Creek,Straight Party,,,LIB,0,3,3
Jessamine,Clear Creek,U.S. House,2,S. Brett Guthrie,,0,374,374
Jessamine,Clear Creek,U.S. House,2,Hank Linderman,,0,151,151
Jessamine,Clear Creek,U.S. House,2,Thomas A. Loecken,,0,7,7
Jessamine,Clear Creek,State Senate,22,Tom Buford,,0,387,387
Jessamine,Clear Creek,State Senate,22,Carolyn Dupont,,0,154,154
Jessamine,Clear Creek,State House,39,Russ Meyer,,,,
Jessamine,Clear Creek,State House,55,Kim King,,0,364,364
Jessamine,Clear Creek,State House,55,Cathy Carter,,0,171,171
Jessamine,Northwest Wilmore #1,Straight Party,,,REP,0,289,289
Jessamine,Northwest Wilmore #1,Straight Party,,,DEM,0,70,70
Jessamine,Northwest Wilmore #1,Straight Party,,,LIB,0,6,6
Jessamine,Northwest Wilmore #1,U.S. House,2,S. Brett Guthrie,,0,602,602
Jessamine,Northwest Wilmore #1,U.S. House,2,Hank Linderman,,0,207,207
Jessamine,Northwest Wilmore #1,U.S. House,2,Thomas A. Loecken,,0,20,20
Jessamine,Northwest Wilmore #1,State Senate,22,Tom Buford,,0,612,612
Jessamine,Northwest Wilmore #1,State Senate,22,Carolyn Dupont,,0,232,232
Jessamine,Northwest Wilmore #1,State House,39,Russ Meyer,,,,
Jessamine,Northwest Wilmore #1,State House,55,Kim King,,0,585,585
Jessamine,Northwest Wilmore #1,State House,55,Cathy Carter,,0,255,255
Jessamine,North Wilmore,Straight Party,,,REP,1,114,115
Jessamine,North Wilmore,Straight Party,,,DEM,0,31,31
Jessamine,North Wilmore,Straight Party,,,LIB,0,3,3
Jessamine,North Wilmore,U.S. House,2,S. Brett Guthrie,,1,259,260
Jessamine,North Wilmore,U.S. House,2,Hank Linderman,,0,92,92
Jessamine,North Wilmore,U.S. House,2,Thomas A. Loecken,,0,21,21
Jessamine,North Wilmore,State Senate,22,Tom Buford,,1,262,263
Jessamine,North Wilmore,State Senate,22,Carolyn Dupont,,0,112,112
Jessamine,North Wilmore,State House,39,Russ Meyer,,,,
Jessamine,North Wilmore,State House,55,Kim King,,1,250,251
Jessamine,North Wilmore,State House,55,Cathy Carter,,0,119,119
