county,precinct,office,district,candidate,party,votes,election_day,absentee,av_counting_boards,early_voting,mail,provisional,pre_process_absentee
Breckinridge,E102,President,,Jill STEIN,KY,0,0,0,,0,,,
Breckinridge,E102,President,,Robert F. KENNEDY JR.,IND,4,4,0,,0,,,
Breckinridge,E102,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Breckinridge,E102,President,,Chase OLIVER,LIB,2,1,0,,1,,,
Breckinridge,E102,President,,Write-ins,,0,0,0,,0,,,
Breckinridge,E102,President,,Under Votes,,4,3,0,,1,,,
Breckinridge,E102,President,,Over Votes,,0,0,0,,0,,,
Breckinridge,E102,U.S. House,2,S. Brett GUTHRIE,REP,618,454,38,,126,,,
Breckinridge,E102,U.S. House,2,Hank LINDERMAN,DEM,108,67,11,,30,,,
Breckinridge,E102,U.S. House,2,Under Votes,,20,15,1,,4,,,
Breckinridge,E102,U.S. House,2,Over Votes,,0,0,0,,0,,,
Breckinridge,E102,State Senate,5,Stephen MEREDITH,REP,613,450,37,,126,,,
Breckinridge,E102,State Senate,5,Jamie SKUDLAREK,DEM,109,68,11,,30,,,
Breckinridge,E102,State Senate,5,Under Votes,,24,18,2,,4,,,
Breckinridge,E102,State Senate,5,Over Votes,,0,0,0,,0,,,
Breckinridge,E102,State House,10,Josh CALLOWAY,REP,570,414,34,,122,,,
Breckinridge,E102,State House,10,John WHIPPLE,DEM,162,110,15,,37,,,
Breckinridge,E102,State House,10,Under Votes,,14,12,1,,1,,,
Breckinridge,E102,State House,10,Over Votes,,0,0,0,,0,,,
Breckinridge,E103,President,,Donald J. TRUMP,REP,355,241,13,,101,,,
Breckinridge,E103,President,,Kamala D. HARRIS,DEM,64,30,10,,24,,,
Breckinridge,E103,President,,Jill STEIN,KY,1,0,1,,0,,,
Breckinridge,E103,President,,Robert F. KENNEDY JR.,IND,1,1,0,,0,,,
Breckinridge,E103,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Breckinridge,E103,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Breckinridge,E103,President,,Write-ins,,0,0,0,,0,,,
Breckinridge,E103,President,,Under Votes,,4,3,0,,1,,,
Breckinridge,E103,President,,Over Votes,,2,2,0,,0,,,
Breckinridge,E103,U.S. House,2,S. Brett GUTHRIE,REP,358,240,16,,102,,,
Breckinridge,E103,U.S. House,2,Hank LINDERMAN,DEM,60,32,8,,20,,,
Breckinridge,E103,U.S. House,2,Under Votes,,9,5,0,,4,,,
Breckinridge,E103,U.S. House,2,Over Votes,,0,0,0,,0,,,
Breckinridge,E103,State Senate,5,Stephen MEREDITH,REP,337,225,14,,98,,,
Breckinridge,E103,State Senate,5,Jamie SKUDLAREK,DEM,73,42,9,,22,,,
Breckinridge,E103,State Senate,5,Under Votes,,16,9,1,,6,,,
Breckinridge,E103,State Senate,5,Over Votes,,1,1,0,,0,,,
Breckinridge,E103,State House,10,Josh CALLOWAY,REP,298,197,14,,87,,,
Breckinridge,E103,State House,10,John WHIPPLE,DEM,115,73,10,,32,,,
Breckinridge,E103,State House,10,Under Votes,,14,7,0,,7,,,
Breckinridge,E103,State House,10,Over Votes,,0,0,0,,0,,,
Breckinridge,F101,President,,Donald J. TRUMP,REP,1166,905,59,,202,,,
Breckinridge,F101,President,,Kamala D. HARRIS,DEM,312,210,38,,64,,,
Breckinridge,F101,President,,Jill STEIN,KY,2,2,0,,0,,,
Breckinridge,F101,President,,Robert F. KENNEDY JR.,IND,7,6,1,,0,,,
Breckinridge,F101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Breckinridge,F101,President,,Chase OLIVER,LIB,3,2,1,,0,,,
Breckinridge,F101,President,,Write-ins,,0,0,0,,0,,,
Breckinridge,F101,President,,Under Votes,,8,8,0,,0,,,
Breckinridge,F101,President,,Over Votes,,0,0,0,,0,,,
Breckinridge,F101,U.S. House,2,S. Brett GUTHRIE,REP,1188,921,62,,205,,,
Breckinridge,F101,U.S. House,2,Hank LINDERMAN,DEM,281,189,36,,56,,,
Breckinridge,F101,U.S. House,2,Under Votes,,29,23,1,,5,,,
Breckinridge,F101,U.S. House,2,Over Votes,,0,0,0,,0,,,
Breckinridge,F101,State Senate,5,Stephen MEREDITH,REP,1161,901,59,,201,,,
Breckinridge,F101,State Senate,5,Jamie SKUDLAREK,DEM,291,193,40,,58,,,
Breckinridge,F101,State Senate,5,Under Votes,,46,39,0,,7,,,
Breckinridge,F101,State Senate,5,Over Votes,,0,0,0,,0,,,
Breckinridge,F101,State House,10,Josh CALLOWAY,REP,1097,851,57,,189,,,
Breckinridge,F101,State House,10,John WHIPPLE,DEM,364,253,42,,69,,,
Breckinridge,F101,State House,10,Under Votes,,37,29,0,,8,,,
Breckinridge,F101,State House,10,Over Votes,,0,0,0,,0,,,
Breckinridge,F103,President,,Donald J. TRUMP,REP,425,287,17,,121,,,
Breckinridge,F103,President,,Kamala D. HARRIS,DEM,80,50,4,,26,,,
Breckinridge,F103,President,,Jill STEIN,KY,0,0,0,,0,,,
Breckinridge,F103,President,,Robert F. KENNEDY JR.,IND,12,8,0,,4,,,
Breckinridge,F103,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Breckinridge,F103,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Breckinridge,F103,President,,Write-ins,,0,0,0,,0,,,
Breckinridge,F103,President,,Under Votes,,8,4,0,,4,,,
Breckinridge,F103,President,,Over Votes,,0,0,0,,0,,,
Breckinridge,F103,U.S. House,2,S. Brett GUTHRIE,REP,431,291,15,,125,,,
Breckinridge,F103,U.S. House,2,Hank LINDERMAN,DEM,78,47,5,,26,,,
Breckinridge,F103,U.S. House,2,Under Votes,,16,11,1,,4,,,
Breckinridge,F103,U.S. House,2,Over Votes,,0,0,0,,0,,,
Breckinridge,F103,State Senate,5,Stephen MEREDITH,REP,417,280,17,,120,,,
Breckinridge,F103,State Senate,5,Jamie SKUDLAREK,DEM,90,58,4,,28,,,
Breckinridge,F103,State Senate,5,Under Votes,,18,11,0,,7,,,
Breckinridge,F103,State Senate,5,Over Votes,,0,0,0,,0,,,
Breckinridge,F103,State House,10,Josh CALLOWAY,REP,366,240,15,,111,,,
Breckinridge,F103,State House,10,John WHIPPLE,DEM,142,98,5,,39,,,
Breckinridge,F103,State House,10,Under Votes,,17,11,1,,5,,,
Breckinridge,F103,State House,10,Over Votes,,0,0,0,,0,,,
Marshall,A101,President,,Donald J. TRUMP,REP,579,316,28,,235,,,
Marshall,A101,President,,Kamala D. HARRIS,DEM,230,97,21,,112,,,
Marshall,A101,President,,Jill STEIN,KY,1,1,0,,0,,,
Marshall,A101,President,,Robert F. KENNEDY JR.,IND,9,6,1,,2,,,
Marshall,A101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,A101,President,,Chase OLIVER,LIB,3,2,0,,1,,,
Marshall,A101,President,,Write-ins,,0,0,0,,0,,,
Marshall,A101,President,,Under Votes,,9,3,0,,6,,,
Marshall,A101,President,,Over Votes,,0,0,0,,0,,,
Marshall,A101,U.S. House,1,James R. COMER,REP,590,331,29,,230,,,
Marshall,A101,U.S. House,1,Erin MARSHALL,DEM,223,87,21,,115,,,
Marshall,A101,U.S. House,1,Under Votes,,18,7,0,,11,,,
Marshall,A101,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,A101,State House,6,Chris FREELAND,REP,593,322,28,,243,,,
Marshall,A101,State House,6,Linda Story EDWARDS,DEM,218,93,21,,104,,,
Marshall,A101,State House,6,Under Votes,,18,9,0,,9,,,
Marshall,A101,State House,6,Over Votes,,2,1,1,,0,,,
Marshall,A102,President,,Donald J. TRUMP,REP,731,552,38,,141,,,
Marshall,A102,President,,Kamala D. HARRIS,DEM,179,140,15,,24,,,
Marshall,A102,President,,Jill STEIN,KY,2,2,0,,0,,,
Marshall,A102,President,,Robert F. KENNEDY JR.,IND,5,5,0,,0,,,
Marshall,A102,President,,Shiva AYYADURAI,IND,2,2,0,,0,,,
Marshall,A102,President,,Chase OLIVER,LIB,4,4,0,,0,,,
Marshall,A102,President,,Write-ins,,0,0,0,,0,,,
Marshall,A102,President,,Under Votes,,6,5,0,,1,,,
Marshall,A102,President,,Over Votes,,0,0,0,,0,,,
Marshall,A102,U.S. House,1,James R. COMER,REP,736,553,38,,145,,,
Marshall,A102,U.S. House,1,Erin MARSHALL,DEM,179,145,15,,19,,,
Marshall,A102,U.S. House,1,Under Votes,,14,12,0,,2,,,
Marshall,A102,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,A102,State House,6,Chris FREELAND,REP,703,527,35,,141,,,
Marshall,A102,State House,6,Linda Story EDWARDS,DEM,205,166,18,,21,,,
Marshall,A102,State House,6,Under Votes,,21,17,0,,4,,,
Marshall,A102,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,A103,President,,Donald J. TRUMP,REP,626,467,16,,143,,,
Marshall,A103,President,,Kamala D. HARRIS,DEM,205,151,10,,44,,,
Marshall,A103,President,,Jill STEIN,KY,2,2,0,,0,,,
Marshall,A103,President,,Robert F. KENNEDY JR.,IND,7,7,0,,0,,,
Marshall,A103,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,A103,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Marshall,A103,President,,Write-ins,,0,0,0,,0,,,
Marshall,A103,President,,Under Votes,,8,7,0,,1,,,
Marshall,A103,President,,Over Votes,,1,0,1,,0,,,
Marshall,A103,U.S. House,1,James R. COMER,REP,616,459,18,,139,,,
Marshall,A103,U.S. House,1,Erin MARSHALL,DEM,222,167,8,,47,,,
Marshall,A103,U.S. House,1,Under Votes,,12,9,1,,2,,,
Marshall,A103,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,A103,State House,6,Chris FREELAND,REP,607,452,16,,139,,,
Marshall,A103,State House,6,Linda Story EDWARDS,DEM,226,171,10,,45,,,
Marshall,A103,State House,6,Under Votes,,16,11,1,,4,,,
Marshall,A103,State House,6,Over Votes,,1,1,0,,0,,,
Marshall,A104,President,,Donald J. TRUMP,REP,459,289,17,,153,,,
Marshall,A104,President,,Kamala D. HARRIS,DEM,86,69,3,,14,,,
Marshall,A104,President,,Jill STEIN,KY,4,4,0,,0,,,
Marshall,A104,President,,Robert F. KENNEDY JR.,IND,2,2,0,,0,,,
Marshall,A104,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,A104,President,,Chase OLIVER,LIB,3,1,1,,1,,,
Marshall,A104,President,,Write-ins,,0,0,0,,0,,,
Marshall,A104,President,,Under Votes,,1,1,0,,0,,,
Marshall,A104,President,,Over Votes,,1,1,0,,0,,,
Marshall,A104,U.S. House,1,James R. COMER,REP,462,291,18,,153,,,
Marshall,A104,U.S. House,1,Erin MARSHALL,DEM,93,75,3,,15,,,
Marshall,A104,U.S. House,1,Under Votes,,1,1,0,,0,,,
Marshall,A104,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,A104,State House,6,Chris FREELAND,REP,454,288,17,,149,,,
Marshall,A104,State House,6,Linda Story EDWARDS,DEM,100,77,4,,19,,,
Marshall,A104,State House,6,Under Votes,,2,2,0,,0,,,
Marshall,A104,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,A105,President,,Donald J. TRUMP,REP,451,285,14,,152,,,
Marshall,A105,President,,Kamala D. HARRIS,DEM,136,72,9,,55,,,
Marshall,A105,President,,Jill STEIN,KY,1,0,0,,1,,,
Marshall,A105,President,,Robert F. KENNEDY JR.,IND,3,3,0,,0,,,
Marshall,A105,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,A105,President,,Chase OLIVER,LIB,3,1,0,,2,,,
Marshall,A105,President,,Write-ins,,0,0,0,,0,,,
Marshall,A105,President,,Under Votes,,5,3,1,,1,,,
Marshall,A105,President,,Over Votes,,0,0,0,,0,,,
Marshall,A105,U.S. House,1,James R. COMER,REP,450,282,15,,153,,,
Marshall,A105,U.S. House,1,Erin MARSHALL,DEM,143,78,9,,56,,,
Marshall,A105,U.S. House,1,Under Votes,,6,4,0,,2,,,
Marshall,A105,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,A105,State House,6,Chris FREELAND,REP,434,261,14,,159,,,
Marshall,A105,State House,6,Linda Story EDWARDS,DEM,157,98,10,,49,,,
Marshall,A105,State House,6,Under Votes,,8,5,0,,3,,,
Marshall,A105,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,A106,President,,Donald J. TRUMP,REP,349,214,13,,122,,,
Marshall,A106,President,,Kamala D. HARRIS,DEM,84,38,11,,35,,,
Marshall,A106,President,,Jill STEIN,KY,1,0,0,,1,,,
Marshall,A106,President,,Robert F. KENNEDY JR.,IND,4,1,0,,3,,,
Marshall,A106,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,A106,President,,Chase OLIVER,LIB,2,1,0,,1,,,
Marshall,A106,President,,Write-ins,,0,0,0,,0,,,
Marshall,A106,President,,Under Votes,,3,2,0,,1,,,
Marshall,A106,President,,Over Votes,,0,0,0,,0,,,
Marshall,A106,U.S. House,1,James R. COMER,REP,360,218,13,,129,,,
Marshall,A106,U.S. House,1,Erin MARSHALL,DEM,78,34,11,,33,,,
Marshall,A106,U.S. House,1,Under Votes,,5,4,0,,1,,,
Marshall,A106,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,A106,State House,6,Chris FREELAND,REP,343,203,12,,128,,,
Marshall,A106,State House,6,Linda Story EDWARDS,DEM,92,48,11,,33,,,
Marshall,A106,State House,6,Under Votes,,8,5,1,,2,,,
Marshall,A106,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,A107,President,,Donald J. TRUMP,REP,876,473,35,,368,,,
Marshall,A107,President,,Kamala D. HARRIS,DEM,238,94,13,,131,,,
Marshall,A107,President,,Jill STEIN,KY,2,1,0,,1,,,
Marshall,A107,President,,Robert F. KENNEDY JR.,IND,13,11,0,,2,,,
Marshall,A107,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,A107,President,,Chase OLIVER,LIB,3,1,1,,1,,,
Marshall,A107,President,,Write-ins,,0,0,0,,0,,,
Marshall,A107,President,,Under Votes,,19,10,1,,8,,,
Marshall,A107,President,,Over Votes,,1,1,0,,0,,,
Marshall,A107,U.S. House,1,James R. COMER,REP,901,482,37,,382,,,
Marshall,A107,U.S. House,1,Erin MARSHALL,DEM,224,96,11,,117,,,
Marshall,A107,U.S. House,1,Under Votes,,27,13,2,,12,,,
Marshall,A107,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,A107,State House,6,Chris FREELAND,REP,918,488,38,,392,,,
Marshall,A107,State House,6,Linda Story EDWARDS,DEM,212,92,10,,110,,,
Marshall,A107,State House,6,Under Votes,,21,10,2,,9,,,
Marshall,A107,State House,6,Over Votes,,1,1,0,,0,,,
Marshall,A108,President,,Donald J. TRUMP,REP,476,289,14,,173,,,
Marshall,A108,President,,Kamala D. HARRIS,DEM,101,60,5,,36,,,
Marshall,A108,President,,Jill STEIN,KY,1,0,0,,1,,,
Marshall,A108,President,,Robert F. KENNEDY JR.,IND,4,3,0,,1,,,
Marshall,A108,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,A108,President,,Chase OLIVER,LIB,4,3,0,,1,,,
Marshall,A108,President,,Write-ins,,0,0,0,,0,,,
Marshall,A108,President,,Under Votes,,5,3,1,,1,,,
Marshall,A108,President,,Over Votes,,0,0,0,,0,,,
Marshall,A108,U.S. House,1,James R. COMER,REP,490,300,17,,173,,,
Marshall,A108,U.S. House,1,Erin MARSHALL,DEM,95,55,2,,38,,,
Marshall,A108,U.S. House,1,Under Votes,,6,3,1,,2,,,
Marshall,A108,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,A108,State House,6,Chris FREELAND,REP,471,281,18,,172,,,
Marshall,A108,State House,6,Linda Story EDWARDS,DEM,115,75,1,,39,,,
Marshall,A108,State House,6,Under Votes,,5,2,1,,2,,,
Marshall,A108,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,B101,President,,Donald J. TRUMP,REP,421,259,19,,143,,,
Marshall,B101,President,,Kamala D. HARRIS,DEM,103,60,9,,34,,,
Marshall,B101,President,,Jill STEIN,KY,3,1,1,,1,,,
Marshall,B101,President,,Robert F. KENNEDY JR.,IND,0,0,0,,0,,,
Marshall,B101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,B101,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Marshall,B101,President,,Write-ins,,0,0,0,,0,,,
Marshall,B101,President,,Under Votes,,3,3,0,,0,,,
Marshall,B101,President,,Over Votes,,1,1,0,,0,,,
Marshall,B101,U.S. House,1,James R. COMER,REP,414,251,19,,144,,,
Marshall,B101,U.S. House,1,Erin MARSHALL,DEM,110,67,10,,33,,,
Marshall,B101,U.S. House,1,Under Votes,,8,7,0,,1,,,
Marshall,B101,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,B101,State House,6,Chris FREELAND,REP,408,247,19,,142,,,
Marshall,B101,State House,6,Linda Story EDWARDS,DEM,117,72,10,,35,,,
Marshall,B101,State House,6,Under Votes,,6,5,0,,1,,,
Marshall,B101,State House,6,Over Votes,,1,1,0,,0,,,
Marshall,B102,President,,Donald J. TRUMP,REP,840,516,33,,291,,,
Marshall,B102,President,,Kamala D. HARRIS,DEM,210,110,12,,88,,,
Marshall,B102,President,,Jill STEIN,KY,0,0,0,,0,,,
Marshall,B102,President,,Robert F. KENNEDY JR.,IND,7,5,0,,2,,,
Marshall,B102,President,,Shiva AYYADURAI,IND,1,1,0,,0,,,
Marshall,B102,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Marshall,B102,President,,Write-ins,,2,2,0,,0,,,
Marshall,B102,President,,Under Votes,,12,7,1,,4,,,
Marshall,B102,President,,Over Votes,,0,0,0,,0,,,
Marshall,B102,U.S. House,1,James R. COMER,REP,835,511,33,,291,,,
Marshall,B102,U.S. House,1,Erin MARSHALL,DEM,220,118,12,,90,,,
Marshall,B102,U.S. House,1,Under Votes,,17,12,1,,4,,,
Marshall,B102,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,B102,State House,6,Chris FREELAND,REP,836,506,33,,297,,,
Marshall,B102,State House,6,Linda Story EDWARDS,DEM,221,124,12,,85,,,
Marshall,B102,State House,6,Under Votes,,15,11,1,,3,,,
Marshall,B102,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,B103,President,,Donald J. TRUMP,REP,286,162,9,,115,,,
Marshall,B103,President,,Kamala D. HARRIS,DEM,105,64,6,,35,,,
Marshall,B103,President,,Jill STEIN,KY,1,1,0,,0,,,
Marshall,B103,President,,Robert F. KENNEDY JR.,IND,7,6,0,,1,,,
Marshall,B103,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,B103,President,,Chase OLIVER,LIB,1,0,0,,1,,,
Marshall,B103,President,,Write-ins,,0,0,0,,0,,,
Marshall,B103,President,,Under Votes,,2,1,0,,1,,,
Marshall,B103,President,,Over Votes,,1,0,1,,0,,,
Marshall,B103,U.S. House,1,James R. COMER,REP,292,167,10,,115,,,
Marshall,B103,U.S. House,1,Erin MARSHALL,DEM,103,62,5,,36,,,
Marshall,B103,U.S. House,1,Under Votes,,7,5,0,,2,,,
Marshall,B103,U.S. House,1,Over Votes,,1,0,1,,0,,,
Marshall,B103,State House,6,Chris FREELAND,REP,291,167,9,,115,,,
Marshall,B103,State House,6,Linda Story EDWARDS,DEM,104,64,5,,35,,,
Marshall,B103,State House,6,Under Votes,,7,3,1,,3,,,
Marshall,B103,State House,6,Over Votes,,1,0,1,,0,,,
Marshall,B104,President,,Donald J. TRUMP,REP,310,191,13,,106,,,
Marshall,B104,President,,Kamala D. HARRIS,DEM,142,82,16,,44,,,
Marshall,B104,President,,Jill STEIN,KY,1,1,0,,0,,,
Marshall,B104,President,,Robert F. KENNEDY JR.,IND,3,3,0,,0,,,
Marshall,B104,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,B104,President,,Chase OLIVER,LIB,1,0,1,,0,,,
Marshall,B104,President,,Write-ins,,0,0,0,,0,,,
Marshall,B104,President,,Under Votes,,1,0,0,,1,,,
Marshall,B104,President,,Over Votes,,1,0,1,,0,,,
Marshall,B104,U.S. House,1,James R. COMER,REP,313,191,16,,106,,,
Marshall,B104,U.S. House,1,Erin MARSHALL,DEM,133,77,14,,42,,,
Marshall,B104,U.S. House,1,Under Votes,,13,9,1,,3,,,
Marshall,B104,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,B104,State House,6,Chris FREELAND,REP,307,181,15,,111,,,
Marshall,B104,State House,6,Linda Story EDWARDS,DEM,143,89,16,,38,,,
Marshall,B104,State House,6,Under Votes,,9,7,0,,2,,,
Marshall,B104,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,B105,President,,Donald J. TRUMP,REP,689,405,24,,260,,,
Marshall,B105,President,,Kamala D. HARRIS,DEM,131,74,12,,45,,,
Marshall,B105,President,,Jill STEIN,KY,1,1,0,,0,,,
Marshall,B105,President,,Robert F. KENNEDY JR.,IND,4,2,0,,2,,,
Marshall,B105,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,B105,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Marshall,B105,President,,Write-ins,,1,1,0,,0,,,
Marshall,B105,President,,Under Votes,,2,2,0,,0,,,
Marshall,B105,President,,Over Votes,,0,0,0,,0,,,
Marshall,B105,U.S. House,1,James R. COMER,REP,666,386,24,,256,,,
Marshall,B105,U.S. House,1,Erin MARSHALL,DEM,139,85,11,,43,,,
Marshall,B105,U.S. House,1,Under Votes,,23,14,1,,8,,,
Marshall,B105,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,B105,State House,6,Chris FREELAND,REP,661,379,24,,258,,,
Marshall,B105,State House,6,Linda Story EDWARDS,DEM,151,97,10,,44,,,
Marshall,B105,State House,6,Under Votes,,16,9,2,,5,,,
Marshall,B105,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,B106,President,,Donald J. TRUMP,REP,638,326,40,,272,,,
Marshall,B106,President,,Kamala D. HARRIS,DEM,172,64,24,,84,,,
Marshall,B106,President,,Jill STEIN,KY,1,1,0,,0,,,
Marshall,B106,President,,Robert F. KENNEDY JR.,IND,8,5,0,,3,,,
Marshall,B106,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,B106,President,,Chase OLIVER,LIB,3,2,0,,1,,,
Marshall,B106,President,,Write-ins,,0,0,0,,0,,,
Marshall,B106,President,,Under Votes,,4,3,0,,1,,,
Marshall,B106,President,,Over Votes,,0,0,0,,0,,,
Marshall,B106,U.S. House,1,James R. COMER,REP,658,334,41,,283,,,
Marshall,B106,U.S. House,1,Erin MARSHALL,DEM,154,60,20,,74,,,
Marshall,B106,U.S. House,1,Under Votes,,13,7,2,,4,,,
Marshall,B106,U.S. House,1,Over Votes,,1,0,1,,0,,,
Marshall,B106,State House,6,Chris FREELAND,REP,643,328,41,,274,,,
Marshall,B106,State House,6,Linda Story EDWARDS,DEM,164,67,21,,76,,,
Marshall,B106,State House,6,Under Votes,,19,6,2,,11,,,
Marshall,B106,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,B107,President,,Donald J. TRUMP,REP,671,369,28,,274,,,
Marshall,B107,President,,Kamala D. HARRIS,DEM,160,84,17,,59,,,
Marshall,B107,President,,Jill STEIN,KY,3,0,0,,3,,,
Marshall,B107,President,,Robert F. KENNEDY JR.,IND,4,4,0,,0,,,
Marshall,B107,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,B107,President,,Chase OLIVER,LIB,3,3,0,,0,,,
Marshall,B107,President,,Write-ins,,0,0,0,,0,,,
Marshall,B107,President,,Under Votes,,9,7,0,,2,,,
Marshall,B107,President,,Over Votes,,0,0,0,,0,,,
Marshall,B107,U.S. House,1,James R. COMER,REP,675,375,28,,272,,,
Marshall,B107,U.S. House,1,Erin MARSHALL,DEM,160,82,16,,62,,,
Marshall,B107,U.S. House,1,Under Votes,,14,9,1,,4,,,
Marshall,B107,U.S. House,1,Over Votes,,1,1,0,,0,,,
Marshall,B107,State House,6,Chris FREELAND,REP,673,366,31,,276,,,
Marshall,B107,State House,6,Linda Story EDWARDS,DEM,164,92,14,,58,,,
Marshall,B107,State House,6,Under Votes,,13,9,0,,4,,,
Marshall,B107,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,B108,President,,Donald J. TRUMP,REP,393,281,24,,88,,,
Marshall,B108,President,,Kamala D. HARRIS,DEM,113,78,3,,32,,,
Marshall,B108,President,,Jill STEIN,KY,0,0,0,,0,,,
Marshall,B108,President,,Robert F. KENNEDY JR.,IND,4,4,0,,0,,,
Marshall,B108,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,B108,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Marshall,B108,President,,Write-ins,,0,0,0,,0,,,
Marshall,B108,President,,Under Votes,,0,0,0,,0,,,
Marshall,B108,President,,Over Votes,,0,0,0,,0,,,
Marshall,B108,U.S. House,1,James R. COMER,REP,400,287,25,,88,,,
Marshall,B108,U.S. House,1,Erin MARSHALL,DEM,106,72,2,,32,,,
Marshall,B108,U.S. House,1,Under Votes,,4,4,0,,0,,,
Marshall,B108,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,B108,State House,6,Chris FREELAND,REP,393,280,25,,88,,,
Marshall,B108,State House,6,Linda Story EDWARDS,DEM,108,75,2,,31,,,
Marshall,B108,State House,6,Under Votes,,9,8,0,,1,,,
Marshall,B108,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,B109,President,,Donald J. TRUMP,REP,421,249,14,,158,,,
Marshall,B109,President,,Kamala D. HARRIS,DEM,109,63,5,,41,,,
Marshall,B109,President,,Jill STEIN,KY,0,0,0,,0,,,
Marshall,B109,President,,Robert F. KENNEDY JR.,IND,2,1,0,,1,,,
Marshall,B109,President,,Shiva AYYADURAI,IND,1,1,0,,0,,,
Marshall,B109,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Marshall,B109,President,,Write-ins,,0,0,0,,0,,,
Marshall,B109,President,,Under Votes,,0,0,0,,0,,,
Marshall,B109,President,,Over Votes,,0,0,0,,0,,,
Marshall,B109,U.S. House,1,James R. COMER,REP,425,251,14,,160,,,
Marshall,B109,U.S. House,1,Erin MARSHALL,DEM,106,62,5,,39,,,
Marshall,B109,U.S. House,1,Under Votes,,3,2,0,,1,,,
Marshall,B109,U.S. House,1,Over Votes,,0,0,0,,0,,,
Marshall,B109,State House,6,Chris FREELAND,REP,404,238,13,,153,,,
Marshall,B109,State House,6,Linda Story EDWARDS,DEM,122,72,5,,45,,,
Marshall,B109,State House,6,Under Votes,,8,5,1,,2,,,
Marshall,B109,State House,6,Over Votes,,0,0,0,,0,,,
Marshall,C101,President,,Donald J. TRUMP,REP,690,499,28,,163,,,
Marshall,C101,President,,Kamala D. HARRIS,DEM,174,114,17,,43,,,
Marshall,C101,President,,Jill STEIN,KY,0,0,0,,0,,,
Marshall,C101,President,,Robert F. KENNEDY JR.,IND,6,5,0,,1,,,
Marshall,C101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Marshall,C101,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Marshall,C101,President,,Write-ins,,0,0,0,,0,,,
Marshall,C101,President,,Under Votes,,7,7,0,,0,,,
Marshall,C101,President,,Over Votes,,1,1,0,,0,,,
Marshall,C101,U.S. House,1,James R. COMER,REP,686,493,28,,165,,,
Marshall,C101,U.S. House,1,Erin MARSHALL,DEM,183,127,17,,39,,,
Marshall,C101,U.S. House,1,Under Votes,,10,7,0,,3,,,
Marshall,C101,U.S. House,1,Over Votes,,0,0,0,,0,,,
